INDV,O(HOM),E(HOM),N_SITES,F
Saltator_coerulescens_MPEG16382,11123,10741.6,12851,0.18079
Saltator_coerulescens_MPEG3969,10351,9977.2,11899,0.19452
Saltator_coerulescens_MPEG5844,11029,10588.8,12657,0.21285
Saltator_coerulescens_USNMB11140,11650,10752.3,12866,0.4247
Saltator_grossus_AMNH12692,8638,8449.3,9932,0.12725
Saltator_grossus_FMNH433813,8461,8305.8,9754,0.10717
Saltator_grossus_FMNH457551,8220,8036.1,9419,0.13297
Saltator_grossus_LSUMNS76026,8793,8674.6,10200,0.0776
Saltator_grossus_MPEG10988,8539,8455.8,9932,0.05637
Saltator_grossus_MPEG11309,8592,8466.5,9948,0.08474
Saltator_grossus_MPEG2492,8773,8654.8,10176,0.07771
Saltator_grossus_MPEG5696,8744,8687.9,10216,0.0367
Saltator_grossus_MPEG6513,8926,8738,10279,0.12202
Saltator_grossus_MPEG7434,8950,8748.4,10289,0.13088
Saltator_grossus_USNMB01287,9263,8717.2,10252,0.3556
Saltator_grossus_USNMB09368,8923,8709,10243,0.13953
Schiffornis_major_FMNH457274,7828,7415.5,9003,0.25983
Schiffornis_major_KU1426,7766,7403.8,8990,0.22832
Schiffornis_major_LSUMNS103592,7503,7142.2,8656,0.23834
Schiffornis_major_LSUMNS42991,7758,7418.7,9006,0.21377
Schiffornis_major_LSUMNS4462,7162,6838.9,8274,0.22512
Schiffornis_major_LSUMNS7503,7898,7461,9061,0.27314
Schiffornis_major_MPEG15841,4102,7380.2,8951,-2.08695
Schiffornis_major_MPEG15853,7622,7268.4,8816,0.22848
Schiffornis_major_MPEG16040,7371,7042.7,8529,0.22088
Schiffornis_major_MPEG6239,7823,7445.2,9039,0.23702
Schiffornis_turdina_AMNH4312,10238,9869.1,11455,0.2326
Schiffornis_turdina_INPA725,10284,9903.2,11496,0.23907
Schiffornis_turdina_KU18445,10358,9636,11173,0.46975
Schiffornis_turdina_LSUMNS27903,10411,9622.3,11163,0.51192
Schiffornis_turdina_LSUMNS9883,10654,9735.4,11298,0.58787
Schiffornis_turdina_MPEG10904,9608,9371.4,10863,0.15863
Schiffornis_turdina_MPEG11026,8302,7961.9,9184,0.27829
Schiffornis_turdina_MPEG12581,10043,9724.2,11281,0.2048
Schiffornis_turdina_MPEG13422,10831,9802,11374,0.65458
Schiffornis_turdina_MPEG2157,10040,9660.6,11201,0.24628
Schiffornis_turdina_MPEG2281,10264,9634.8,11176,0.40825
Schiffornis_turdina_MPEG3417,10050,9729.1,11288,0.20583
Schiffornis_turdina_MPEG6768,9839,9440.2,10939,0.26606
Synallaxis_gujanensis_AMNH11985,6816,6158.9,7628,0.44726
Synallaxis_gujanensis_AMNH6193,6997,6511.5,8086,0.30836
Synallaxis_gujanensis_FMNH321495,6695,6426.8,7977,0.173
Synallaxis_gujanensis_INPA2220,7002,6430.8,7981,0.36845
Synallaxis_gujanensis_INPA939,7155,6478.8,8043,0.43232
Synallaxis_gujanensis_LSUMNS46034,6758,6376.5,7912,0.24847
Synallaxis_gujanensis_LSUMNS7276,6985,6388.2,7924,0.38858
Synallaxis_gujanensis_MPEG1885,6700,6134.1,7595,0.38736
Synallaxis_gujanensis_MPEG2288,7085,6365.2,7893,0.47112
Synallaxis_gujanensis_MPEG7070,7151,6462.7,8019,0.44226
Synallaxis_gujanensis_USNMB06925,7216,6481.4,8048,0.4689
Synallaxis_rutilans_AMNH11928,5429,5220.8,6195,0.21367
Synallaxis_rutilans_FMNH391101,5571,5227.2,6203,0.3523
Synallaxis_rutilans_INPA1617,5307,5070.5,6013,0.25095
Synallaxis_rutilans_LSUMNS31362,5429,5001.3,5925,0.46303
Synallaxis_rutilans_LSUMNS42924,5345,5179.7,6143,0.17163
Synallaxis_rutilans_MPEG12491,5078,4799.4,5679,0.31676
Synallaxis_rutilans_MPEG1345,5281,5018.5,5949,0.28211
Synallaxis_rutilans_MPEG16900,5406,5198.7,6168,0.21389
Synallaxis_rutilans_MPEG440,5472,5207.3,6178,0.27272
Synallaxis_rutilans_MPEG5105,5060,4858.8,5746,0.2268
Synallaxis_rutilans_USNMB06831,5413,5158.5,6115,0.26605
Tachyphonus_cristatus_AMNH2985,7831,7718.4,9482,0.06384
Tachyphonus_cristatus_FMNH390058,7901,7754.3,9533,0.08246
Tachyphonus_cristatus_INPA1490,8001,7854.4,9662,0.0811
Tachyphonus_cristatus_INPA1636,7975,7819.7,9615,0.08653
Tachyphonus_cristatus_LSUMNS2693,7845,7803.8,9590,0.02305
Tachyphonus_cristatus_LSUMNS35475,7903,7783.5,9570,0.06689
Tachyphonus_cristatus_LSUMNS9548,7817,7790,9575,0.01511
Tachyphonus_cristatus_MPEG12736,8481,7816.2,9607,0.37123
Tachyphonus_cristatus_MPEG2482,7974,7851.2,9655,0.0681
Tachyphonus_luctuosus_LSUMNS18277,8888,8737.6,10505,0.08508
Tachyphonus_luctuosus_LSUMNS27928,8051,7990.1,9562,0.03872
Tachyphonus_luctuosus_LSUMNS28793,8737,8685.1,10438,0.02963
Tachyphonus_luctuosus_MPEG10610,8848,8704.7,10463,0.08151
Tachyphonus_luctuosus_MPEG2517,8914,8687.9,10441,0.12896
Tachyphonus_luctuosus_MPEG4059,7894,7885.8,9424,0.0053
Tachyphonus_luctuosus_MPEG4450,8823,8715.5,10477,0.06101
Tachyphonus_luctuosus_MSUZP95518,6537,6322.9,7497,0.18237
Tachyphonus_luctuosus_MVZ169546,8776,8701.3,10462,0.04242
Tachyphonus_luctuosus_MZUSP87733,8524,8312.7,9968,0.12768
Tachyphonus_luctuosus_USNMB09569,8818,8657.2,10405,0.09202
Tachyphonus_luctuosus_USNMB10690,8811,8667.2,10415,0.08227
Trogon_collaris_FMNH456552,9204,8750.3,10385,0.27754
Trogon_collaris_INPA6982,9607,8936.7,10621,0.39797
